descripcion,año,grupo_etario,sexo,cantidad
Enfermedades del sistema genitourinario ,2008,55-74,,1.0
Enfermedades infecciosas y parasitarias ,2022,55-74,F,2546.0
Trastornos mentales,2015,55-74,M,364.0
Trastornos mentales,2010,55-74,M,407.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,55-74,M,4743.0
Enfermedades infecciosas y parasitarias ,2011,55-74,M,2455.0
Enfermedades del aparato circulatorio,2020,55-74,,305.0
Enfermedades infecciosas y parasitarias ,2005,75+,F,4001.0
Enfermedades infecciosas y parasitarias ,2022,75+,F,5466.0
Enfermedades del aparato circulatorio,2008,75+,F,33569.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,75+,F,3165.0
Enfermedades infecciosas y parasitarias ,2017,75+,F,4145.0
Tumores ,2016,75+,M,12535.0
Enfermedades del aparato respiratorio,2022,75+,M,20912.0
Enfermedades infecciosas y parasitarias ,2013,75+,F,4063.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,75+,F,4083.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2007,75+,M,2498.0
Enfermedades infecciosas y parasitarias ,2019,75+,F,4374.0
Enfermedades del aparato digestivo,2021,75+,F,3715.0
Enfermedades infecciosas y parasitarias ,2011,75+,M,2749.0
Tumores ,2016,75+,F,12336.0
Enfermedades del aparato circulatorio,2006,75+,M,21986.0
Enfermedades infecciosas y parasitarias ,2021,75+,,49.0
Accidentes y causas externas,2016,75+,M,1536.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2011,75+,M,2434.0
Tumores ,2009,75+,F,11457.0
Tumores ,2009,75+,M,11457.0
Enfermedades del aparato circulatorio,2008,75+,M,22233.0
Enfermedades del aparato circulatorio,2006,75+,F,32752.0
Enfermedades infecciosas y parasitarias ,2007,75+,M,2795.0
Enfermedades del aparato respiratorio,2013,75+,M,14814.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2022,75+,F,2006.0
Accidentes y causas externas,2009,75+,M,1321.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2005,75+,F,1118.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2021,75+,M,1044.0
Enfermedades del aparato respiratorio,2019,75+,M,17432.0
Tumores ,2020,75+,,125.0
Enfermedades del aparato respiratorio,2012,75+,F,18447.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2007,75+,,4.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2019,75+,F,1655.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2017,75+,F,1706.0
Enfermedades del aparato respiratorio,2017,75+,M,18495.0
Enfermedades del aparato respiratorio,2020,75+,F,19476.0
Enfermedades del aparato circulatorio,2020,75+,,513.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,75+,F,293.0
Accidentes y causas externas,2019,75+,,12.0
Enfermedades del aparato respiratorio,2005,75+,M,11690.0
Trastornos mentales,2016,75+,M,667.0
Trastornos mentales,2009,75+,M,599.0
Trastornos mentales,2019,75+,,9.0
Tumores ,2010,55-74,,16.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2013,55-74,F,174.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2010,75+,F,384.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2015,75+,F,468.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2013,75+,F,1631.0
Enfermedades del aparato circulatorio,2012,75+,,37.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2021,75+,M,313.0
Trastornos mentales,2017,75+,,6.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2008,75+,M,5748.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,75+,F,9640.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2006,75+,M,4753.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2018,75+,F,461.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2014,75+,F,463.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,75+,F,8317.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,75+,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2022,75+,M,594.0
Enfermedades de la piel y del tejido subcutáneo ,2017,75+,M,560.0
Enfermedades de la piel y del tejido subcutáneo ,2019,75+,M,578.0
Enfermedades de la piel y del tejido subcutáneo ,2013,75+,M,327.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2014,75+,M,9.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,75+,F,304.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2021,75+,F,6.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2015,75+,M,14.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,75+,M,104.0
Accidentes y causas externas,2013,75+,,2.0
Enfermedades del aparato circulatorio,2016,75+,,2.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,75+,M,102.0
Enfermedades del sistema genitourinario ,2019,75+,M,3784.0
Enfermedades del sistema genitourinario ,2014,75+,F,4337.0
Enfermedades del sistema genitourinario ,2018,75+,F,4901.0
Enfermedades del sistema genitourinario ,2022,75+,M,4225.0
Enfermedades del sistema genitourinario ,2015,75+,F,4653.0
Enfermedades del sistema genitourinario ,2013,75+,M,3269.0
Enfermedades del sistema genitourinario ,2005,75+,M,2383.0
Enfermedades del sistema genitourinario ,2017,75+,M,3628.0
Enfermedades del sistema genitourinario ,2010,75+,F,3437.0
Enfermedades de la piel y del tejido subcutáneo ,2005,75+,M,243.0
Tumores ,2012,75+,,10.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,75+,,8.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2007,75+,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,75+,,13.0
COVID-19,2021,75+,M,16268.0
Enfermedades del sistema genitourinario ,2006,75+,,2.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2010,75+,M,6.0
Accidentes y causas externas,2021,35-54,M,3231.0
Tumores ,2007,35-54,F,4263.0
Accidentes y causas externas,2008,35-54,F,893.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2012,35-54,M,445.0
Enfermedades infecciosas y parasitarias ,2014,35-54,M,1324.0
Enfermedades del aparato respiratorio,2014,35-54,M,1448.0
Enfermedades infecciosas y parasitarias ,2015,35-54,M,1258.0
Trastornos mentales,2005,35-54,M,218.0
Tumores ,2016,35-54,M,3392.0
Tumores ,2009,35-54,M,3604.0
Tumores ,2011,35-54,F,4258.0
"Embarazo, parto y puerperio ",2006,35-54,F,91.0
Enfermedades del aparato circulatorio,2021,35-54,M,4484.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2013,35-54,F,56.0
Enfermedades infecciosas y parasitarias ,2018,35-54,M,1114.0
Enfermedades del aparato respiratorio,2009,35-54,F,1231.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2020,35-54,M,576.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2015,35-54,F,192.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2019,35-54,F,69.0
Enfermedades del aparato digestivo,2021,35-54,M,1575.0
Enfermedades del aparato respiratorio,2015,35-54,M,1378.0
Accidentes y causas externas,2006,35-54,F,841.0
Enfermedades del aparato respiratorio,2016,35-54,F,1195.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,35-54,M,1153.0
Enfermedades del aparato respiratorio,2018,35-54,M,1663.0
Enfermedades infecciosas y parasitarias ,2010,35-54,M,1204.0
Enfermedades del aparato circulatorio,2020,35-54,F,1794.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,35-54,M,1165.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2010,35-54,F,195.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2014,35-54,F,180.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2022,35-54,F,68.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2006,35-54,M,247.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2008,35-54,M,277.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2017,35-54,F,66.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,35-54,M,1069.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2013,35-54,M,52.0
Enfermedades del aparato digestivo,2012,35-54,F,491.0
Enfermedades del aparato circulatorio,2012,35-54,F,1813.0
Enfermedades del aparato digestivo,2020,35-54,F,520.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,35-54,F,308.0
Enfermedades del sistema genitourinario ,2014,35-54,M,355.0
Enfermedades del sistema genitourinario ,2010,35-54,M,282.0
Enfermedades del sistema genitourinario ,2021,35-54,F,348.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,35-54,F,406.0
Enfermedades del aparato respiratorio,2010,35-54,M,1464.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,35-54,F,100.0
Enfermedades del sistema genitourinario ,2018,35-54,M,372.0
Enfermedades del sistema genitourinario ,2015,35-54,M,367.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2018,35-54,F,201.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2022,35-54,M,55.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2015,35-54,F,42.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2005,35-54,F,60.0
Trastornos mentales,2022,35-54,M,119.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,35-54,M,1360.0
Trastornos mentales,2019,35-54,M,120.0
Trastornos mentales,2010,35-54,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2007,35-54,M,22.0
Accidentes y causas externas,2021,35-54,,35.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2010,35-54,F,26.0
Trastornos mentales,2007,35-54,F,38.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2014,35-54,F,39.0
Trastornos mentales,2013,35-54,M,149.0
Trastornos mentales,2017,35-54,M,119.0
Enfermedades del aparato circulatorio,2017,35-54,,17.0
COVID-19,2020,35-54,M,2938.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2018,35-54,F,27.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,35-54,M,60.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,35-54,M,56.0
Enfermedades de la piel y del tejido subcutáneo ,2006,35-54,M,24.0
"Embarazo, parto y puerperio ",2008,35-54,F,80.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2005,35-54,M,23.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,35-54,F,103.0
Enfermedades de la piel y del tejido subcutáneo ,2008,35-54,M,31.0
Enfermedades infecciosas y parasitarias ,2005,35-54,,3.0
Trastornos mentales,2011,35-54,F,21.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2011,35-54,M,28.0
Enfermedades del aparato circulatorio,2013,35-54,,4.0
Enfermedades del aparato circulatorio,2019,35-54,,17.0
Enfermedades del sistema genitourinario ,2014,35-54,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,35-54,,1.0
Enfermedades infecciosas y parasitarias ,2013,35-54,,2.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,35-54,,1.0
Enfermedades infecciosas y parasitarias ,2017,35-54,,5.0
Enfermedades del aparato respiratorio,2014,35-54,,5.0
Enfermedades del aparato digestivo,2016,35-54,,2.0
Enfermedades del aparato respiratorio,2018,35-54,,4.0
Enfermedades del sistema genitourinario ,2018,35-54,,1.0
Enfermedades del aparato circulatorio,2005,35-54,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,35-54,,15.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,35-54,,3.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2021,55-74,M,205.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2005,55-74,F,117.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2019,55-74,F,235.0
Enfermedades del aparato digestivo,2021,55-74,,50.0
Trastornos mentales,2018,55-74,M,331.0
Enfermedades del aparato circulatorio,2012,55-74,,21.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,55-74,,1.0
Accidentes y causas externas,2016,55-74,,8.0
Enfermedades de la piel y del tejido subcutáneo ,2020,55-74,,8.0
Tumores ,2018,55-74,,31.0
Accidentes y causas externas,2009,55-74,,4.0
Tumores ,2014,55-74,,9.0
"Embarazo, parto y puerperio ",2008,55-74,F,1.0
Tumores ,2015,55-74,,4.0
Enfermedades del aparato digestivo,2007,55-74,,1.0
Enfermedades del aparato respiratorio,2009,55-74,,11.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2019,55-74,,2.0
Enfermedades del sistema genitourinario ,2006,55-74,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2013,0-14,M,363.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2021,0-14,F,668.0
Enfermedades del aparato circulatorio,2013,0-14,F,83.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,0-14,M,1341.0
Afecciones originadas en el periodo perinatal ,2007,0-14,F,1934.0
Enfermedades del aparato respiratorio,2010,0-14,F,427.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2012,0-14,M,243.0
Tumores ,2014,0-14,F,189.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2008,0-14,F,223.0
Enfermedades del aparato respiratorio,2014,0-14,F,354.0
Enfermedades del aparato respiratorio,2014,0-14,M,485.0
Enfermedades del aparato respiratorio,2018,0-14,F,293.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2010,0-14,M,44.0
Afecciones originadas en el periodo perinatal ,2012,0-14,M,2296.0
Afecciones originadas en el periodo perinatal ,2020,0-14,M,1437.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,0-14,M,1421.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2019,0-14,F,206.0
Enfermedades infecciosas y parasitarias ,2012,0-14,F,191.0
Afecciones originadas en el periodo perinatal ,2011,0-14,F,1849.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2006,0-14,F,210.0
Accidentes y causas externas,2015,0-14,F,430.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2005,0-14,F,307.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2020,0-14,M,124.0
Accidentes y causas externas,2009,0-14,M,829.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2022,0-14,F,179.0
Enfermedades del sistema genitourinario ,2016,0-14,F,13.0
Enfermedades del aparato circulatorio,2022,0-14,M,91.0
Enfermedades del aparato circulatorio,2017,0-14,M,91.0
Accidentes y causas externas,2018,0-14,F,378.0
Enfermedades del aparato respiratorio,2010,0-14,M,541.0
Enfermedades del aparato respiratorio,2018,0-14,M,376.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2014,0-14,M,46.0
Enfermedades del aparato circulatorio,2005,0-14,M,125.0
Accidentes y causas externas,2014,0-14,F,481.0
Enfermedades del aparato respiratorio,2015,0-14,M,422.0
Enfermedades de la piel y del tejido subcutáneo ,2018,0-14,M,4.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2008,0-14,M,95.0
Accidentes y causas externas,2016,0-14,M,642.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2006,0-14,M,111.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2017,0-14,M,264.0
Tumores ,2006,0-14,M,259.0
Tumores ,2010,0-14,F,193.0
Enfermedades del sistema genitourinario ,2021,0-14,M,19.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,0-14,F,50.0
Enfermedades del aparato respiratorio,2015,0-14,F,322.0
Enfermedades infecciosas y parasitarias ,2020,0-14,F,79.0
Enfermedades del aparato circulatorio,2019,0-14,F,77.0
Accidentes y causas externas,2010,0-14,F,540.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2022,0-14,M,194.0
Enfermedades del aparato circulatorio,2013,0-14,M,104.0
Enfermedades del aparato circulatorio,2022,0-14,F,86.0
Tumores ,2018,0-14,F,184.0
Enfermedades del aparato digestivo,2012,0-14,F,37.0
Enfermedades del aparato circulatorio,2019,0-14,M,83.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2013,0-14,F,226.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2005,0-14,M,426.0
Tumores ,2008,0-14,M,244.0
Enfermedades del aparato circulatorio,2017,0-14,F,88.0
Enfermedades del aparato circulatorio,2005,0-14,F,108.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2019,0-14,M,273.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2018,0-14,M,26.0
Enfermedades del aparato digestivo,2020,0-14,F,34.0
COVID-19,2022,0-14,F,61.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2017,0-14,F,174.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,0-14,F,81.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2015,0-14,M,37.0
Enfermedades infecciosas y parasitarias ,2021,0-14,M,101.0
Tumores ,2015,0-14,F,169.0
Accidentes y causas externas,2006,15-34,M,5349.0
Enfermedades del aparato digestivo,2015,15-34,M,157.0
Accidentes y causas externas,2013,15-34,F,1297.0
Enfermedades infecciosas y parasitarias ,2009,15-34,M,441.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,15-34,F,158.0
Accidentes y causas externas,2008,15-34,M,6164.0
Accidentes y causas externas,2019,15-34,F,1164.0
Accidentes y causas externas,2005,15-34,F,1104.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2009,15-34,M,38.0
Enfermedades infecciosas y parasitarias ,2018,15-34,F,234.0
Enfermedades del aparato digestivo,2006,15-34,F,109.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,15-34,F,194.0
Accidentes y causas externas,2017,15-34,F,1204.0
Enfermedades infecciosas y parasitarias ,2015,15-34,F,219.0
Enfermedades del aparato respiratorio,2007,15-34,M,443.0
Accidentes y causas externas,2022,15-34,F,1213.0
Enfermedades del sistema genitourinario ,2012,15-34,M,64.0
Tumores ,2006,15-34,M,626.0
Trastornos mentales,2020,15-34,F,14.0
Enfermedades del aparato respiratorio,2011,15-34,M,463.0
Tumores ,2012,15-34,F,663.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2007,15-34,F,150.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2018,15-34,M,16.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2021,15-34,F,89.0
Enfermedades del aparato circulatorio,2020,15-34,F,298.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2009,15-34,M,213.0
Enfermedades infecciosas y parasitarias ,2010,15-34,F,279.0
Enfermedades del aparato digestivo,2008,15-34,F,114.0
Enfermedades de la piel y del tejido subcutáneo ,2019,15-34,M,16.0
Enfermedades del aparato circulatorio,2012,15-34,F,355.0
COVID-19,2022,15-34,F,149.0
Tumores ,2008,15-34,M,720.0
Enfermedades infecciosas y parasitarias ,2014,15-34,F,267.0
Tumores ,2020,15-34,F,770.0
Enfermedades del aparato circulatorio,2020,15-34,M,530.0
Enfermedades del aparato digestivo,2014,15-34,M,172.0
Enfermedades del aparato digestivo,2018,15-34,M,182.0
"Embarazo, parto y puerperio ",2021,15-34,F,304.0
Enfermedades infecciosas y parasitarias ,2016,15-34,M,413.0
Trastornos mentales,2020,15-34,M,24.0
COVID-19,2022,15-34,M,229.0
Enfermedades del aparato circulatorio,2012,15-34,M,575.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,15-34,M,43.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2016,15-34,M,277.0
Enfermedades del sistema genitourinario ,2020,15-34,M,66.0
Trastornos mentales,2012,15-34,M,15.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2015,15-34,M,16.0
Enfermedades del aparato digestivo,2010,15-34,M,158.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,15-34,F,176.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2021,15-34,F,36.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,15-34,M,49.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2006,15-34,M,62.0
Accidentes y causas externas,2013,15-34,,15.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,15-34,F,32.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2008,15-34,M,53.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2010,15-34,M,22.0
Enfermedades de la piel y del tejido subcutáneo ,2013,15-34,M,24.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,15-34,F,39.0
COVID-19,2021,15-34,,8.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2010,0-14,F,8.0
Afecciones originadas en el periodo perinatal ,2015,0-14,,3.0
Enfermedades del sistema genitourinario ,2009,0-14,F,24.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2010,0-14,M,10.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,0-14,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2015,0-14,M,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,0-14,,1.0
COVID-19,2021,0-14,M,61.0
Afecciones originadas en el periodo perinatal ,2018,0-14,,3.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2015,0-14,M,7.0
Accidentes y causas externas,2005,0-14,,5.0
Afecciones originadas en el periodo perinatal ,2014,0-14,,1.0
Enfermedades del aparato respiratorio,2009,0-14,,4.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,0-14,,1.0
